Timestamp,Data,,,roll,pitch,count,,,,,,,,,,tanggal,waktu
01:23.5,Client 2 data received: roll = 73.51, pitch = -5.78,,73.51,-5.78,,,,,,,,,,,7/15/2024,8:01:23
01:24.4,Client 2 data received: roll = 75.57, pitch = -5.48,,75.57,-5.48,ya,,,,,,,,,,7/15/2024,8:01:24
01:25.5,Client 2 data received: roll = 73.89, pitch = -5.52,,73.89,-5.52,,,,,,,,,,,7/15/2024,8:01:25
01:26.5,Client 2 data received: roll = 74.34, pitch = -4.97,,74.34,-4.97,,,,,,,,,,,7/15/2024,8:01:26
01:27.5,Client 2 data received: roll = 74.10, pitch = -5.33,,74.1,-5.33,,,,,,,,,,,7/15/2024,8:01:27
01:28.4,Client 2 data received: roll = 74.22, pitch = -5.61,,74.22,-5.61,,,,,,,,,,,7/15/2024,8:01:28
01:29.5,Client 2 data received: roll = 74.02, pitch = -4.04,,74.02,-4.04,ya,,,,,,,,,,7/15/2024,8:01:29
01:30.5,Client 2 data received: roll = 74.12, pitch = -5.14,,74.12,-5.14,,,,,,,,,,,7/15/2024,8:01:30
01:31.5,Client 2 data received: roll = 74.30, pitch = -5.39,,74.3,-5.39,,,,,,,,,,,7/15/2024,8:01:31
01:32.5,Client 2 data received: roll = 73.93, pitch = -5.73,,73.93,-5.73,,,,,,,,,,,7/15/2024,8:01:32
01:33.5,Client 2 data received: roll = 74.48, pitch = -5.07,,74.48,-5.07,,,,,,,,,,,7/15/2024,8:01:33
