Timestamp,"Data
"
27:45.6,"Roll: -134.11 degrees, Pitch: -87.56 degrees"
27:45.6,"Roll: -135.69 degrees, Pitch: -87.63 degrees"
27:45.6,"Roll: -129.76 degrees, Pitch: -87.72 degrees"
27:45.6,"Roll: -141.79 degrees, Pitch: -87.60 degrees"
27:45.6,"Roll: -131.69 degrees, Pitch: -87.86 degrees"
27:45.6,"Roll: -126.25 degrees, Pitch: -87.48 degrees"
27:45.6,"Roll: -141.05 degrees, Pitch: -87.93 degrees"
27:45.6,"Roll: -126.24 degrees, Pitch: -87.57 degrees"
27:45.6,"Roll: -142.06 degrees, Pitch: -87.97 degrees"
27:45.7,"Roll: -134.09 degrees, Pitch: -87.00 degrees"
27:45.7,"Roll: -137.03 degrees, Pitch: -87.84 degrees"
27:45.7,"Roll: -128.38 degrees, Pitch: -87.45 degrees"
27:45.7,"Roll: -112.11 degrees, Pitch: -88.15 degrees"
27:45.7,"Roll: -135.77 degrees, Pitch: -87.87 degrees"
27:45.7,"Roll: -115.35 degrees, Pitch: -87.76 degrees"
27:45.7,"Roll: -142.23 degrees, Pitch: -87.42 degrees"
27:45.7,"Roll: -130.56 degrees, Pitch: -87.80 degrees"
27:45.7,"Roll: -137.77 degrees, Pitch: -87.44 degrees"
27:45.7,"Roll: -137.24 degrees, Pitch: -87.58 degrees"
27:45.8,"Roll: -132.96 degrees, Pitch: -88.13 degrees"
27:45.8,"Roll: -137.89 degrees, Pitch: -87.16 degrees"
27:45.8,"Roll: -128.02 degrees, Pitch: -88.13 degrees"
27:45.8,"Roll: -138.46 degrees, Pitch: -87.97 degrees"
27:45.8,"Roll: -135.97 degrees, Pitch: -87.75 degrees"
27:45.8,"Roll: -140.34 degrees, Pitch: -87.34 degrees"
27:45.8,"Roll: -128.43 degrees, Pitch: -87.42 degrees"
27:45.8,"Roll: -141.03 degrees, Pitch: -87.65 degrees"
27:45.8,"Roll: -129.26 degrees, Pitch: -88.01 degrees"
27:45.9,"Roll: -146.22 degrees, Pitch: -87.53 degrees"
27:45.9,"Roll: -127.62 degrees, Pitch: -87.36 degrees"
27:45.9,"Roll: -135.25 degrees, Pitch: -87.84 degrees"
27:45.9,"Roll: -137.27 degrees, Pitch: -87.60 degrees"
27:45.9,"Roll: -142.58 degrees, Pitch: -87.79 degrees"
27:45.9,"Roll: -138.10 degrees, Pitch: -88.07 degrees"
27:45.9,"Roll: -128.46 degrees, Pitch: -87.59 degrees"
27:45.9,"Roll: -137.70 degrees, Pitch: -87.99 degrees"
27:45.9,"Roll: -139.99 degrees, Pitch: -87.16 degrees"
27:46.0,"Roll: -143.32 degrees, Pitch: -87.51 degrees"
27:46.0,"Roll: -131.47 degrees, Pitch: -87.70 degrees"
27:46.0,"Roll: -146.38 degrees, Pitch: -87.11 degrees"
27:46.0,"Roll: -143.97 degrees, Pitch: -87.45 degrees"
27:46.0,"Roll: -135.42 degrees, Pitch: -87.41 degrees"
27:46.0,"Roll: -134.28 degrees, Pitch: -87.74 degrees"
27:46.0,"Roll: -140.62 degrees, Pitch: -87.48 degrees"
27:46.0,"Roll: -133.03 degrees, Pitch: -87.79 degrees"
27:46.0,"Roll: -144.15 degrees, Pitch: -87.73 degrees"
27:46.1,"Roll: -140.98 degrees, Pitch: -87.37 degrees"
27:46.1,"Roll: -128.66 degrees, Pitch: -87.76 degrees"
27:46.1,"Roll: -140.40 degrees, Pitch: -87.58 degrees"
