Timestamp,"Data
",,,
11:28.4,"Roll: -109.92 degrees, Pitch: -88.04 degrees",,,
11:28.4,"Roll: -76.05 degrees, Pitch: -87.88 degrees",,,
11:28.4,"Roll: -66.94 degrees, Pitch: -87.91 degrees",,,
11:28.4,"Roll: -34.15 degrees, Pitch: -85.99 degrees",,,
11:28.4,"Roll: -108.56 degrees, Pitch: -88.05 degrees",,,
11:28.5,"Roll: 22.26 degrees, Pitch: -80.92 degrees",,,
11:28.5,"Roll: 176.54 degrees, Pitch: -87.71 degrees",,,
11:28.5,"Roll: -159.85 degrees, Pitch: -83.62 degrees",,,
11:28.5,"Roll: -155.98 degrees, Pitch: -82.47 degrees",,,
11:28.5,"Roll: -154.66 degrees, Pitch: -85.65 degrees",,,
11:28.5,"Roll: -41.77 degrees, Pitch: -86.93 degrees",,,
11:28.5,"Roll: -53.07 degrees, Pitch: -87.46 degrees",,,
11:28.5,"Roll: -79.53 degrees, Pitch: -85.81 degrees",,,
11:28.5,"Roll: -111.59 degrees, Pitch: -85.56 degrees",,,
11:28.6,"Roll: -136.41 degrees, Pitch: -84.20 degrees",,,
11:28.6,"Roll: -163.42 degrees, Pitch: -86.07 degrees",,,
11:28.6,"Roll: -166.78 degrees, Pitch: -78.20 degrees",,,
11:28.6,"Roll: 23.33 degrees, Pitch: -88.65 degrees",,,
11:28.6,"Roll: -14.43 degrees, Pitch: -84.26 degrees",,,
11:28.6,"Roll: -35.75 degrees, Pitch: -85.48 degrees",,,
11:28.6,"Roll: -28.06 degrees, Pitch: -84.15 degrees",,,
11:28.6,"Roll: -39.46 degrees, Pitch: -85.40 degrees",,,
11:28.6,"Roll: -105.67 degrees, Pitch: -84.70 degrees",,,
11:28.7,"Roll: -136.46 degrees, Pitch: -79.71 degrees",,,
11:28.7,"Roll: -139.88 degrees, Pitch: -77.56 degrees",,,
11:28.7,"Roll: -136.12 degrees, Pitch: -76.15 degrees",,,
11:28.7,"Roll: -128.31 degrees, Pitch: -78.17 degrees",,,
11:28.7,"Roll: -103.07 degrees, Pitch: -83.23 degrees",,,
11:28.7,"Roll: -46.17 degrees, Pitch: -83.74 degrees",,,
11:28.7,"Roll: -9.06 degrees, Pitch: -73.86 degrees",,,
11:28.7,"Roll: -133.71 degrees, Pitch: -57.98 degrees",,,
11:28.7,"Roll: 116.76 degrees, Pitch: -41.30 degrees",,,
11:28.7,"Roll: 141.25 degrees, Pitch: -34.67 degrees",,,
11:28.8,"Roll: 176.79 degrees, Pitch: -64.09 degrees",,,
11:28.8,"Roll: -162.29 degrees, Pitch: -71.72 degrees",,,
11:28.8,"Roll: -172.00 degrees, Pitch: -53.49 degrees",,,
11:28.8,"Roll: -174.30 degrees, Pitch: -41.81 degrees",,,
11:28.8,"Roll: -169.86 degrees, Pitch: -43.52 degrees",,,
11:28.8,"Roll: -169.91 degrees, Pitch: -41.77 degrees",,,
11:28.8,"Roll: -169.15 degrees, Pitch: -49.00 degrees",,,
11:28.8,"Roll: 177.56 degrees, Pitch: -60.98 degrees",,,
11:28.8,"Roll: 166.38 degrees, Pitch: -64.42 degrees",,,
11:28.9,"Roll: -171.87 degrees, Pitch: -81.92 degrees",,,
11:28.9,"Roll: 177.00 degrees, Pitch: -78.82 degrees",,,
11:28.9,"Roll: 134.65 degrees, Pitch: -60.13 degrees",,,
11:28.9,"Roll: 146.73 degrees, Pitch: -44.92 degrees",,,
11:28.9,"Roll: 156.72 degrees, Pitch: -50.12 degrees",,,
11:28.9,"Roll: 151.43 degrees, Pitch: -63.43 degrees",,,
11:28.9,"Roll: 157.35 degrees, Pitch: -58.47 degrees",,,
11:28.9,"Roll: 165.98 degrees, Pitch: -51.37 degrees",,,
11:28.9,"Roll: 173.33 degrees, Pitch: -51.86 degrees",,,
11:29.0,"Roll: 178.24 degrees, Pitch: -49.07 degrees",,,
11:29.0,"Roll: 170.26 degrees, Pitch: -51.71 degrees",,,
11:29.0,"Roll: 170.80 degrees, Pitch: -58.43 degrees",,,
11:29.0,"Roll: 175.69 degrees, Pitch: -70.21 degrees",,,
11:29.0,"Roll: -167.91 degrees, Pitch: -83.08 degrees",,,
11:29.0,"Roll: -103.95 degrees, Pitch: -84.26 degrees",,,
11:29.0,"Roll: -109.82 degrees, Pitch: -84.36 degrees",,,
11:29.0,"Roll: -143.94 degrees, Pitch: -78.75 degrees",,,
11:29.0,"Roll: -155.14 degrees, Pitch: -72.68 degrees",,,
11:29.1,"Roll: -164.54 degrees, Pitch: -68.21 degrees",,,
11:29.1,"Roll: -163.61 degrees, Pitch: -67.92 degrees",,,
11:29.1,"Roll: -168.89 degrees, Pitch: -67.64 degrees",,,
11:29.1,"Roll: -168.89 degrees, Pitch: -65.29 degrees",,,
11:29.1,"Roll: -152.40 degrees, Pitch: -62.74 degrees",,,
11:29.1,"Roll: -139.97 degrees, Pitch: -56.77 degrees",,,
11:29.1,"Roll: -129.55 degrees, Pitch: -62.74 degrees",,,
11:29.1,"Roll: -105.96 degrees, Pitch: -67.48 degrees",,,
11:29.1,"Roll: -138.70 degrees, Pitch: -66.66 degrees",,,
11:29.2,"Roll: -144.14 degrees, Pitch: -77.21 degrees",,,
11:29.2,"Roll: -123.67 degrees, Pitch: -81.19 degrees",,,
11:29.2,"Roll: -106.34 degrees, Pitch: -86.12 degrees",,,
11:29.2,"Roll: -37.96 degrees, Pitch: -86.71 degrees",,,
11:29.2,"Roll: -38.81 degrees, Pitch: -83.38 degrees",,,
11:29.2,"Roll: -46.32 degrees, Pitch: -80.61 degrees",,,
11:29.2,"Roll: -59.65 degrees, Pitch: -75.30 degrees",,,
11:29.2,"Roll: -99.71 degrees, Pitch: -77.69 degrees",,,
